"secao","nome_secao","divisao","nome_divisao","grupo","nome_grupo","classe","nome_classe","subclasse","nome_subclasse","notas_explicativas"
"A","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","01","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","01.1",". Produção de lavouras temporárias","01.113",".- Cultivo de cereais","0111301","-/ Cultivo de arroz"," Esta classe compreende:- o cultivo de alpiste, arroz, aveia, centeio, cevada, milho, milheto, painço, sorgo, trigo, trigo preto, triticale e outros cereais não especificados anteriormenteEsta classe compreende também:- o beneficiamento de cereais em estabelecimento agrícola, quando atividade complementar ao cultivo- a produção de sementes de cereais, quando atividade complementar ao cultivo Esta classe não compreende: - a produção de sementes certificadas dos cereais desta classe, inclusive modificadas geneticamente (01.41-5) - os serviços de preparação de terreno, cultivo e colheita realizados sob contrato (01.61-0) - o beneficiamento de cereais em estabelecimento agrícola realizado sob contrato (01.63-6) - o processamento ou beneficiamento de cereais em estabelecimento não-agrícola (grupo 10.4) e (grupo 10.6) - a produção de biocombustível (19.32-2)  "
"A","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","01","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","01.1",". Produção de lavouras temporárias","01.113",".- Cultivo de cereais","0111302","-/ Cultivo de milho"," Esta classe compreende:- o cultivo de alpiste, arroz, aveia, centeio, cevada, milho, milheto, painço, sorgo, trigo, trigo preto, triticale e outros cereais não especificados anteriormenteEsta classe compreende também:- o beneficiamento de cereais em estabelecimento agrícola, quando atividade complementar ao cultivo- a produção de sementes de cereais, quando atividade complementar ao cultivo Esta classe não compreende: - a produção de sementes certificadas dos cereais desta classe, inclusive modificadas geneticamente (01.41-5) - os serviços de preparação de terreno, cultivo e colheita realizados sob contrato (01.61-0) - o beneficiamento de cereais em estabelecimento agrícola realizado sob contrato (01.63-6) - o processamento ou beneficiamento de cereais em estabelecimento não-agrícola (grupo 10.4) e (grupo 10.6) - a produção de biocombustível (19.32-2)  "
"A","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","01","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","01.1",". Produção de lavouras temporárias","01.113",".- Cultivo de cereais","0111303","-/ Cultivo de trigo"," Esta classe compreende:- o cultivo de alpiste, arroz, aveia, centeio, cevada, milho, milheto, painço, sorgo, trigo, trigo preto, triticale e outros cereais não especificados anteriormenteEsta classe compreende também:- o beneficiamento de cereais em estabelecimento agrícola, quando atividade complementar ao cultivo- a produção de sementes de cereais, quando atividade complementar ao cultivo Esta classe não compreende: - a produção de sementes certificadas dos cereais desta classe, inclusive modificadas geneticamente (01.41-5) - os serviços de preparação de terreno, cultivo e colheita realizados sob contrato (01.61-0) - o beneficiamento de cereais em estabelecimento agrícola realizado sob contrato (01.63-6) - o processamento ou beneficiamento de cereais em estabelecimento não-agrícola (grupo 10.4) e (grupo 10.6) - a produção de biocombustível (19.32-2)  "
"A","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","01","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","01.1",". Produção de lavouras temporárias","01.113",".- Cultivo de cereais","0111399","-/ Cultivo de outros cereais não especificados anteriormente"," Esta classe compreende:- o cultivo de alpiste, arroz, aveia, centeio, cevada, milho, milheto, painço, sorgo, trigo, trigo preto, triticale e outros cereais não especificados anteriormenteEsta classe compreende também:- o beneficiamento de cereais em estabelecimento agrícola, quando atividade complementar ao cultivo- a produção de sementes de cereais, quando atividade complementar ao cultivo Esta classe não compreende: - a produção de sementes certificadas dos cereais desta classe, inclusive modificadas geneticamente (01.41-5) - os serviços de preparação de terreno, cultivo e colheita realizados sob contrato (01.61-0) - o beneficiamento de cereais em estabelecimento agrícola realizado sob contrato (01.63-6) - o processamento ou beneficiamento de cereais em estabelecimento não-agrícola (grupo 10.4) e (grupo 10.6) - a produção de biocombustível (19.32-2)  "
"A","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","01","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","01.1",". Produção de lavouras temporárias","01.121",".- Cultivo de algodão herbáceo e de outras fibras de lavoura temporária","0112101","-/ Cultivo de algodão herbáceo"," Esta classe compreende:- o cultivo de algodão herbáceo- o cultivo de juta, junco, linho, malva, rami, sorgo vassoura e outras fibras de lavoura temporária não especificadas anteriormenteEsta classe compreende também:- o descaroçamento do algodão, quando atividade complementar ao cultivo- o processo de maceração e secagem das fibras desta classe- a produção de sementes e mudas das fibras desta classe, quando atividade complementar ao cultivo Esta classe não compreende: - o cultivo de algodão arbóreo (01.39-3) - a produção de sementes e mudas certificadas das fibras desta classe, inclusive modificadas geneticamente (grupo 01.4) - os serviços de preparação de terreno, cultivo e colheita realizados sob contrato (01.61-0) - o serviço de descaroçamento de algodão realizado sob contrato (01.63-6) - a preparação do algodão e de outras fibras de lavoura temporária, em estabelecimento não-agrícola (13.11-1) e (13.12-0)  "
"A","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","01","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","01.1",". Produção de lavouras temporárias","01.121",".- Cultivo de algodão herbáceo e de outras fibras de lavoura temporária","0112102","-/ Cultivo de juta"," Esta classe compreende:- o cultivo de algodão herbáceo- o cultivo de juta, junco, linho, malva, rami, sorgo vassoura e outras fibras de lavoura temporária não especificadas anteriormenteEsta classe compreende também:- o descaroçamento do algodão, quando atividade complementar ao cultivo- o processo de maceração e secagem das fibras desta classe- a produção de sementes e mudas das fibras desta classe, quando atividade complementar ao cultivo Esta classe não compreende: - o cultivo de algodão arbóreo (01.39-3) - a produção de sementes e mudas certificadas das fibras desta classe, inclusive modificadas geneticamente (grupo 01.4) - os serviços de preparação de terreno, cultivo e colheita realizados sob contrato (01.61-0) - o serviço de descaroçamento de algodão realizado sob contrato (01.63-6) - a preparação do algodão e de outras fibras de lavoura temporária, em estabelecimento não-agrícola (13.11-1) e (13.12-0)  "
"A","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","01","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","01.1",". Produção de lavouras temporárias","01.121",".- Cultivo de algodão herbáceo e de outras fibras de lavoura temporária","0112199","-/ Cultivo de outras fibras de lavoura temporária não especificadas anteriormente"," Esta classe compreende:- o cultivo de algodão herbáceo- o cultivo de juta, junco, linho, malva, rami, sorgo vassoura e outras fibras de lavoura temporária não especificadas anteriormenteEsta classe compreende também:- o descaroçamento do algodão, quando atividade complementar ao cultivo- o processo de maceração e secagem das fibras desta classe- a produção de sementes e mudas das fibras desta classe, quando atividade complementar ao cultivo Esta classe não compreende: - o cultivo de algodão arbóreo (01.39-3) - a produção de sementes e mudas certificadas das fibras desta classe, inclusive modificadas geneticamente (grupo 01.4) - os serviços de preparação de terreno, cultivo e colheita realizados sob contrato (01.61-0) - o serviço de descaroçamento de algodão realizado sob contrato (01.63-6) - a preparação do algodão e de outras fibras de lavoura temporária, em estabelecimento não-agrícola (13.11-1) e (13.12-0)  "
"A","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","01","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","01.1",". Produção de lavouras temporárias","01.130",".- Cultivo de cana-de-açúcar","0113000","-/ Cultivo de cana de açúcar"," Esta classe compreende:- o cultivo de cana-de-açúcarEsta classe compreende também:- a produção de toletes (mudas) de cana-de-açúcar, quando atividade complementar ao cultivo Esta classe não compreende: - a produção de toletes (mudas) certificadas de cana-de-açúcar, inclusive modificadas geneticamente (01.42-3) - os serviços de preparação de terreno, cultivo e corte da cana realizados sob contrato (01.61-0) - a produção de açúcar em bruto (usinas de açúcar) (10.71-6) - a fabricação, refino e moagem de açúcar de cana (10.72-4) - a produção de álcool de cana (19.31-4)  "
"A","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","01","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","01.1",". Produção de lavouras temporárias","01.148",".- Cultivo de fumo","0114800","-/ Cultivo de fumo"," Esta classe compreende:- o cultivo de fumoEsta classe compreende também:- o processamento do fumo através de secagem, defumação e outros processos, quando atividade complementar ao cultivo- a produção de semente de fumo, quando atividade complementar ao cultivo Esta classe não compreende: - a produção de sementes certificadas de fumo, inclusive modificadas geneticamente (01.41-5) - os serviços de preparação de terreno, cultivo e colheita realizados sob contrato (01.61-0) - o processamento do fumo através de secagem, defumação e outros processos realizado em unidade industrial (12.10-7)  "
"A","AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA","01","AGRICULTURA, PECUÁRIA E SERVIÇOS RELACIONADOS","01.1",". Produção de lavouras temporárias","01.156",".- Cultivo de soja","0115600","-/ Cultivo de soja"," Esta classe compreende:- o cultivo de sojaEsta classe compreende também:- a produção de semente de soja, quando atividade complementar ao cultivo Esta classe não compreende: - a produção de sementes certificadas de soja, inclusive modificadas geneticamente (01.41-5) - os serviços de preparação de terreno, cultivo e colheita realizados sob contrato (01.61-0) - a produção de óleo de soja em bruto, inclusive torta e farelo (10.41-4) - a produção de biocombustível (19.32-2)  "
